TOWN,2012,2013,2014,2015,2016,2017,2012_rate,2013_rate,2014_rate,2015_rate,2016_rate,2017_rate,population
WATERFORD,3.0,3.0,,3.0,4.0,4.0,1.55183116077,1.55183116077,,1.55183116077,2.06910821436,2.06910821436,19332.0
WATERTOWN,2.0,3.0,4.0,6.0,7.0,4.0,0.907111756168,1.36066763425,1.81422351234,2.72133526851,3.17489114659,1.81422351234,22048.0
WEST HARTFORD,3.0,4.0,2.0,4.0,9.0,13.0,0.474781204995,0.63304160666,0.31652080333,0.63304160666,1.42434361498,2.05738522164,63187.0
WEST HAVEN,3.0,9.0,10.0,14.0,21.0,23.0,0.545732372844,1.63719711853,1.81910790948,2.54675107327,3.82012660991,4.18394819181,54972.0
WESTBROOK,,1.0,,2.0,1.0,1.0,,1.44885540423,,2.89771080846,1.44885540423,1.44885540423,6902.0
WESTON,,,,,1.0,,,,,,0.966463709288,,10347.0
WESTPORT,,1.0,1.0,1.0,1.0,2.0,,0.363490967249,0.363490967249,0.363490967249,0.363490967249,0.726981934499,27511.0
WETHERSFIELD,2.0,2.0,6.0,4.0,5.0,6.0,0.757690559176,0.757690559176,2.27307167753,1.51538111835,1.89422639794,2.27307167753,26396.0
WILLINGTON,1.0,,,2.0,2.0,1.0,1.68719419605,,,3.3743883921,3.3743883921,1.68719419605,5927.0
WILTON,1.0,3.0,,2.0,,,0.537172324882,1.61151697465,,1.07434464976,,,18616.0
WINCHESTER,2.0,2.0,4.0,4.0,2.0,8.0,1.83049606443,1.83049606443,3.66099212887,3.66099212887,1.83049606443,7.32198425773,10926.0
WINDHAM,3.0,3.0,6.0,8.0,11.0,13.0,1.20009600768,1.20009600768,2.40019201536,3.20025602048,4.40035202816,5.20041603328,24998.0
WINDSOR,2.0,2.0,4.0,3.0,7.0,2.0,0.688847558035,0.688847558035,1.37769511607,1.03327133705,2.41096645312,0.688847558035,29034.0
WINDSOR LOCKS,3.0,1.0,1.0,3.0,3.0,8.0,2.39291696578,0.797638988594,0.797638988594,2.39291696578,2.39291696578,6.38111190875,12537.0
WOLCOTT,2.0,,1.0,2.0,1.0,2.0,1.19710301071,,0.598551505357,1.19710301071,0.598551505357,1.19710301071,16707.0
WOODBRIDGE,1.0,,,1.0,1.0,2.0,1.12044817927,,,1.12044817927,1.12044817927,2.24089635854,8925.0
WOODBURY,,3.0,,,2.0,,,3.08546744832,,,2.05697829888,,9723.0
WOODSTOCK,,,1.0,,2.0,1.0,,,1.27226463104,,2.54452926209,1.27226463104,7860.0
